[LOG] 2024-11-29T20:54:15.395Z HTTP Endpoint: https://crow.resilientdb.com/v1/blocks
[LOG] 2024-11-29T20:54:15.401Z WebSocket Endpoint: wss://crow.resilientdb.com/blockupdatelistener
[LOG] 2024-11-29T20:54:15.402Z Initializing WebSocketMongoSync...
[LOG] 2024-11-29T20:54:18.812Z Connected to MongoDB database: myDatabase, collection: polls
[LOG] 2024-11-29T20:54:18.894Z Checking for blocks from 1 to 100
[LOG] 2024-11-29T20:54:19.192Z Checking for blocks from 101 to 200
[LOG] 2024-11-29T20:54:19.344Z Checking for blocks from 201 to 300
[LOG] 2024-11-29T20:54:19.435Z Checking for blocks from 301 to 400
[LOG] 2024-11-29T20:54:19.523Z Checking for blocks from 401 to 500
[LOG] 2024-11-29T20:54:19.613Z Checking for blocks from 501 to 600
[LOG] 2024-11-29T20:54:19.701Z Checking for blocks from 601 to 700
[LOG] 2024-11-29T20:54:19.799Z Checking for blocks from 701 to 800
[LOG] 2024-11-29T20:54:19.897Z Checking for blocks from 801 to 900
[LOG] 2024-11-29T20:54:19.985Z Checking for blocks from 901 to 1000
[LOG] 2024-11-29T20:54:20.075Z Checking for blocks from 1001 to 1100
[LOG] 2024-11-29T20:54:20.161Z Checking for blocks from 1101 to 1200
[LOG] 2024-11-29T20:54:20.247Z Checking for blocks from 1201 to 1300
[LOG] 2024-11-29T20:54:20.335Z Checking for blocks from 1301 to 1400
[LOG] 2024-11-29T20:54:20.423Z Checking for blocks from 1401 to 1500
[LOG] 2024-11-29T20:54:20.512Z Checking for blocks from 1501 to 1600
[LOG] 2024-11-29T20:54:20.603Z Checking for blocks from 1601 to 1700
[LOG] 2024-11-29T20:54:20.692Z Checking for blocks from 1701 to 1800
[LOG] 2024-11-29T20:54:20.782Z Checking for blocks from 1801 to 1900
[LOG] 2024-11-29T20:54:20.870Z Checking for blocks from 1901 to 2000
[LOG] 2024-11-29T20:54:20.959Z Checking for blocks from 2001 to 2100
[LOG] 2024-11-29T20:54:21.045Z Checking for blocks from 2101 to 2200
